ptrFinger_r X,ptrFinger_r Y,ptrFinger_r Z,ptrElbow_r X,ptrElbow_r Y,ptrElbow_r Z,right_scapula X,right_scapula Y,right_scapula Z,left_scapula X,left_scapula Y,left_scapula Z,head_right X,head_right Y,head_right Z,head_left X,head_left Y,head_left Z,abdomen X,abdomen Y,abdomen Z
false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
0.447007204,0.492436571,0.451618067,0.232869044,0.215181098,0.243714550,-0.035355342,0.436244398,0.174413378,0.035355342,0.436244398,-0.174413378,-0.014900200,0.668500000,0.073504993,0.014900200,0.668500000,-0.073504993,0.073504993,0.156200000,0.014900200
0.447007204,0.546388538,0.434928768,0.241861115,0.225234385,0.239542225,-0.035355342,0.436244398,0.174413378,0.035355342,0.436244398,-0.174413378,-0.014900200,0.668500000,0.073504993,0.014900200,0.668500000,-0.073504993,0.073504993,0.156200000,0.014900200
0.447007204,0.595949407,0.407853542,0.250121330,0.234469445,0.232773419,-0.035355342,0.436244398,0.174413378,0.035355342,0.436244398,-0.174413378,-0.014900200,0.668500000,0.073504993,0.014900200,0.668500000,-0.073504993,0.073504993,0.156200000,0.014900200
0.447007204,0.639143341,0.371471793,0.257320380,0.242518105,0.223677982,-0.035355342,0.436244398,0.174413378,0.035355342,0.436244398,-0.174413378,-0.014900200,0.668500000,0.073504993,0.014900200,0.668500000,-0.073504993,0.073504993,0.156200000,0.014900200
0.447007204,0.674248334,0.327233948,0.263171262,0.249059490,0.212618520,-0.035355342,0.436244398,0.174413378,0.035355342,0.436244398,-0.174413378,-0.014900200,0.668500000,0.073504993,0.014900200,0.668500000,-0.073504993,0.073504993,0.156200000,0.014900200
0.447007204,0.699864861,0.276903628,0.267440719,0.253832815,0.200035941,-0.035355342,0.436244398,0.174413378,0.035355342,0.436244398,-0.174413378,-0.014900200,0.668500000,0.073504993,0.014900200,0.668500000,-0.073504993,0.073504993,0.156200000,0.014900200
0.447007204,0.714971673,0.222487346,0.269958543,0.256647784,0.186431870,-0.035355342,0.436244398,0.174413378,0.035355342,0.436244398,-0.174413378,-0.014900200,0.668500000,0.073504993,0.014900200,0.668500000,-0.073504993,0.073504993,0.156200000,0.014900200
0.447007204,0.718966507,0.166154506,0.270624354,0.257392173,0.172348660,-0.035355342,0.436244398,0.174413378,0.035355342,0.436244398,-0.174413378,-0.014900200,0.668500000,0.073504993,0.014900200,0.668500000,-0.073504993,0.073504993,0.156200000,0.014900200
0.447007204,0.711690104,0.110150921,0.269411610,0.256036304,0.158347764,-0.035355342,0.436244398,0.174413378,0.035355342,0.436244398,-0.174413378,-0.014900200,0.668500000,0.073504993,0.014900200,0.668500000,-0.073504993,0.073504993,0.156200000,0.014900200
0.447007204,0.693432549,0.056709278,0.266368658,0.252634233,0.144987353,-0.035355342,0.436244398,0.174413378,0.035355342,0.436244398,-0.174413378,-0.014900200,0.668500000,0.073504993,0.014900200,0.668500000,-0.073504993,0.073504993,0.156200000,0.014900200
0.447007204,0.664921714,0.007960126,0.261616812,0.247321588,0.132800065,-0.035355342,0.436244398,0.174413378,0.035355342,0.436244398,-0.174413378,-0.014900200,0.668500000,0.073504993,0.014900200,0.668500000,-0.073504993,0.073504993,0.156200000,0.014900200
0.447007204,0.627294236,-0.034153061,0.255345512,0.240310170,0.122271768,-0.035355342,0.436244398,0.174413378,0.035355342,0.436244398,-0.174413378,-0.014900200,0.668500000,0.073504993,0.014900200,0.668500000,-0.073504993,0.073504993,0.156200000,0.014900200
0.447007204,0.582050205,-0.067951361,0.247804776,0.231879499,0.113822193,-0.035355342,0.436244398,0.174413378,0.035355342,0.436244398,-0.174413378,-0.014900200,0.668500000,0.073504993,0.014900200,0.668500000,-0.073504993,0.073504993,0.156200000,0.014900200
0.447007204,0.530993355,-0.092087345,0.239295229,0.222365682,0.107788197,-0.035355342,0.436244398,0.174413378,0.035355342,0.436244398,-0.174413378,-0.014900200,0.668500000,0.073504993,0.014900200,0.668500000,-0.073504993,0.073504993,0.156200000,0.014900200
0.447007204,0.476159164,-0.105598785,0.230156119,0.212148003,0.104410337,-0.035355342,0.436244398,0.174413378,0.035355342,0.436244398,-0.174413378,-0.014900200,0.668500000,0.073504993,0.014900200,0.668500000,-0.073504993,0.073504993,0.156200000,0.014900200
0.447007204,0.419733697,-0.107947024,0.220751795,0.201633810,0.103823277,-0.035355342,0.436244398,0.174413378,0.035355342,0.436244398,-0.174413378,-0.014900200,0.668500000,0.073504993,0.014900200,0.668500000,-0.073504993,0.073504993,0.156200000,0.014900200
