26.75,-14.8594378,0
26.75,-15.8594378,392
27.75,-16.8594378,408
27.75,-18.8594378,427
27.75,-19.8594378,446
27.75,-20.8594378,465
28.75,-23.8594378,486
28.75,-25.8594378,509
28.75,-27.8594378,533
28.75,-28.8594378,556
27.75,-29.8594378,581
27.75,-31.8594378,609
28.75,-32.8594378,638
28.75,-34.8594378,668
28.75,-35.8594378,710
28.75,-36.8594378,758
28.75,-37.8594378,790
28.75,-39.8594378,823
28.75,-41.8594378,859
28.75,-44.8594378,895
28.75,-46.8594378,931
28.75,-48.8594378,969
28.75,-52.8594378,1008
29.75,-57.8594378,1053
29.75,-59.8594378,1096
29.75,-64.8594378,1143
29.75,-69.8594378,1192
29.75,-72.8594378,1243
29.75,-76.8594378,1310
29.75,-79.8594378,1364
29.75,-82.8594378,1417
29.75,-83.8594378,1476
29.75,-84.8594378,1530
29.75,-85.8594378,1585
29.75,-86.8594378,1639
29.75,-87.8594378,1703
29.75,-88.8594378,1776
28.75,-89.8594378,1835
28.75,-90.8594378,1907
28.75,-91.8594378,1965
27.75,-91.8594378,2095
28.75,-95.8594378,2161
27.75,-95.8594378,2242
27.75,-94.8594378,2487
27.75,-88.8594378,2565
